mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_rmse,std_test_rmse
0.31323663393656415,0.0620328402113381,0.008822282155354818,0.00044046305199933993,0.7,200,3,4,0.08,0.9,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",-10.921520995695124,-11.644274492199221,-10.360744604461418,-10.975513364118589,0.5253878726331849,6,10.975513364118589,0.5253878726331849
0.3196407159169515,0.008808321906486158,0.010186115900675455,0.00023274801658396707,0.8,300,3,4,0.05,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-10.90528557187944,-11.604621392513414,-10.259110851262424,-10.923005938551759,0.5494452734049946,3,10.923005938551759,0.5494452734049946
0.28515926996866864,0.03956775299683922,0.012024164199829102,0.0014255814370279553,1.0,300,1,4,0.03,0.9,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",-10.808970069866868,-11.568769094228838,-10.205500679558398,-10.861079947884702,0.5577704259817466,1,10.861079947884702,0.5577704259817466
0.2945639292399089,0.012709927720796007,0.009354988733927408,0.0004867779672900942,0.8,300,1,3,0.05,0.9,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-10.876645367417352,-11.628001414022028,-10.303898068543136,-10.93618161666084,0.5421997424735561,4,10.93618161666084,0.5421997424735561
0.15181414286295572,0.007944269024884675,0.007516384124755859,0.0006972801791572924,1.0,200,1,3,0.03,1.0,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-10.917085169480393,-11.785571749517782,-10.551848505588577,-11.084835141528918,0.5174445545141436,7,11.084835141528918,0.5174445545141436
0.17778841654459634,0.005163922163867796,0.009159088134765625,0.0006017953198675808,1.0,300,5,2,0.03,0.9,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",-10.97518064106619,-11.831606972475415,-10.575675437978465,-11.127487683840023,0.5239205291484887,10,11.127487683840023,0.5239205291484887
0.23191571235656738,0.011592640133666413,0.00834504763285319,0.0002405495251006141,0.7,200,5,4,0.03,0.8,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-10.769779291983925,-11.571470915583141,-10.273560376317397,-10.871603527961488,0.5347392344302564,2,10.871603527961488,0.5347392344302564
0.17187913258870444,0.0024383107470129783,0.0069933732350667315,0.0008229978280539802,0.7,200,1,2,0.05,0.8,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-11.031491369132707,-11.803880014606296,-10.551119471564284,-11.128830285101095,0.5160480552378527,11,11.128830285101095,0.5160480552378527
0.3801089922587077,0.021946178718655632,0.012026389439900717,0.0018808033443566306,0.8,400,5,3,0.05,0.8,"{'subsample': 0.8, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-11.003750581657116,-11.60893474261226,-10.293312584518562,-10.96866596959598,0.5376731431017608,5,10.96866596959598,0.5376731431017608
0.17783967653910318,0.004939902802562689,0.00684968630472819,0.0006313905688342314,0.7,200,5,2,0.05,0.9,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-10.99906941957969,-11.77664848367955,-10.535204583667165,-11.10364082897547,0.5121829907150729,8,11.10364082897547,0.5121829907150729
0.11872450510660808,0.004387779585708437,0.00619959831237793,0.0006194988580148545,1.0,200,5,2,0.05,0.9,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-10.969671651055737,-11.805968062346201,-10.541497767348691,-11.105712493583544,0.5251041895722721,9,11.105712493583544,0.5251041895722721
0.4406154950459798,0.015348186547030553,0.012684186299641928,0.0010234547764736686,0.8,400,1,4,0.08,1.0,"{'subsample': 0.8, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",-11.488812545303572,-11.807669942341969,-10.485581704666595,-11.260688064104045,0.563329336026336,12,11.260688064104045,0.563329336026336
