run_id,split,cv_rate_pct,n_gt,n_baseline_eval,n_corrected_eval,mae_baseline_sec,rmse_baseline_sec,maxae_baseline_sec,abc_baseline_vehicle_sec,mae_corrected_sec,rmse_corrected_sec,maxae_corrected_sec,abc_corrected_vehicle_sec,mae_improvement_sec,mae_improvement_pct,rmse_improvement_sec,rmse_improvement_pct,maxae_improvement_sec,maxae_improvement_pct,abc_improvement_vehicle_sec,abc_improvement_pct
5,train,1,1343,1343,1343,19.09437581692644,22.10219911532579,58.214390503701,25643.746722132248,12.7394345247416,17.409555307523192,56.860015990740976,17109.06056672797,6.35494129218484,33.28174407540164,4.692643807802597,21.231569688233833,1.354374512960021,2.3265287177985936,8534.686155404277,33.28174407540174
6,train,1,1191,1191,1191,15.175806432452264,18.42784975158038,54.43399442298414,18074.38546105064,9.640770619743403,13.218082336216574,56.195907731993884,11482.157808114402,5.535035812708861,36.47276233619206,5.209767415363805,28.27116286270466,-1.761913309009742,-3.2367885687731084,6592.227652936237,36.472762336191984
7,train,1,1312,1312,1312,16.70828680216726,19.391224330412033,47.70566400111761,21921.27228444344,10.175963906574179,14.186761756274622,47.44356984842625,13350.864645425301,6.532322895593083,39.096305760957875,5.204462574137411,26.83926752358305,0.26209415269136116,0.5493983957234534,8570.407639018138,39.09630576095795
8,train,1,1271,1271,1271,16.027505874829746,19.10664449372115,54.77803188691246,20370.95996690864,10.83772648870921,15.098251615916508,52.660721289210414,13774.750367149387,5.189779386120536,32.380455366238735,4.00839287780464,20.979051968658776,2.117310597702044,3.8652549658468307,6596.209599759251,32.38045536623893
9,train,1,1392,1392,1392,19.71311356923073,22.485714272573396,54.8320738904215,27440.65408836917,10.347549311629763,14.422906378015137,70.02606092447877,14403.788641788628,9.365564257600969,47.509310108268416,8.06280789455826,35.85746842115105,-15.193987034057272,-27.710035306017268,13036.865446580543,47.509310108268416
10,train,1,1358,1358,1358,15.860434858024808,19.193490665708943,49.12035739729643,21538.470537197707,14.519179846314437,20.49110036203013,73.43883233722681,19717.046231294993,1.3412550117103716,8.456609315675509,-1.2976096963211887,-6.760675892267455,-24.318474939930383,-49.507935667562684,1821.424305902714,8.456609315675639
11,test,1,1345,1345,1345,17.86169748668468,20.66982622614904,55.25654560819976,24023.98311959092,10.797545135247754,14.843876867201798,55.078786482135,14522.698206908233,7.064152351436926,39.549165787311225,5.825949358947243,28.185768449165458,0.17775912606475686,0.321697862412844,9501.284912682688,39.549165787311274
12,test,1,1260,1260,1260,15.99703322594505,19.094352080082956,49.48947178188928,20156.26186469079,11.761655445591602,15.800121584465442,53.68588445127625,14819.68586144541,4.235377780353447,26.47602040035918,3.294230495617514,17.252381656111172,-4.196412669386973,-8.479404847724915,5336.57600324538,26.47602040035932
13,test,1,1285,1285,1285,17.350059620874866,20.46345079400838,52.62850155901492,22294.826612824225,11.421297274728222,15.689893444075011,60.380955318820725,14676.366998025758,5.9287623461466445,34.17142347461103,4.77355734993337,23.327235459871943,-7.752453759805803,-14.730523442915425,7618.459614798467,34.171423474611125
14,test,1,1352,1352,1352,16.05082943740759,19.824546385624295,52.477853825470504,21700.721399375037,12.7771196299804,17.379801958792505,69.7497787260134,17274.665739733497,3.27370980742719,20.39589181477176,2.4447444268317895,12.331906008223159,-17.2719249005429,-32.91278823632045,4426.055659641541,20.395891814771687
5,train,2,1343,1343,1343,19.09437581692644,22.10219911532579,58.214390503701,25643.746722132248,10.623694681615076,15.04310471657046,52.599975585937614,14267.621957409041,8.470681135311365,44.36217877204672,7.059094398755329,31.938425502014926,5.6144149177633835,9.644376363274722,11376.124764723207,44.36217877204683
6,train,2,1191,1191,1191,15.175806432452264,18.42784975158038,54.43399442298414,18074.38546105064,8.770536796831049,12.61096657513211,52.993529283258795,10445.709325025768,6.405269635621215,42.207112117113276,5.816883176448268,31.565718490565676,1.4404651397253474,2.6462602184438024,7628.676136024871,42.20711211711331
7,train,2,1312,1312,1312,16.70828680216726,19.391224330412033,47.70566400111761,21921.27228444344,8.520251599728761,12.227991362438688,44.22954224561249,11178.570098844117,8.1880352024385,49.005833448923184,7.163232967973345,36.940591506328765,3.476121755505119,7.286601765827394,10742.702185599323,49.005833448923234
8,train,2,1271,1271,1271,16.027505874829746,19.10664449372115,54.77803188691246,20370.95996690864,10.020992058669394,14.271639831551761,55.849228795948875,12736.680906568794,6.006513816160352,37.47628522534644,4.835004662169387,25.30535732612952,-1.0711969090364164,-1.955522811129595,7634.279060339844,37.47628522534656
9,train,2,1392,1392,1392,19.71311356923073,22.485714272573396,54.8320738904215,27440.65408836917,9.339466009916832,13.728145929518492,71.33880167664893,13000.536685804236,10.3736475593139,52.623080179001434,8.757568343054905,38.94725440737639,-16.50672778622743,-30.104146378295123,14440.117402564934,52.6230801790014
10,train,2,1358,1358,1358,15.860434858024808,19.193490665708943,49.12035739729643,21538.470537197707,13.53204891925994,19.684632918237504,68.33753549356607,18376.522432354985,2.3283859387648675,14.680467210435836,-0.4911422525285616,-2.558900103596244,-19.217178096269635,-39.12263492066396,3161.9481048427224,14.680467210435975
11,test,2,1345,1345,1345,17.86169748668468,20.66982622614904,55.25654560819976,24023.98311959092,10.513420823143584,15.068931847312816,57.82522271732978,14140.551007128119,7.348276663541096,41.13985621478026,5.600894378836225,27.096959198189243,-2.5686771091300216,-4.648638601738514,9883.432112462802,41.13985621478033
12,test,2,1260,1260,1260,15.99703322594505,19.094352080082956,49.48947178188928,20156.26186469079,9.911133158381723,13.930672091703084,52.01017070986154,12488.027779560962,6.085900067563326,38.04392965623657,5.163679988379872,27.042970438185396,-2.520698927972262,-5.093404389284094,7668.234085129829,38.043929656236706
13,test,2,1285,1285,1285,17.350059620874866,20.46345079400838,52.62850155901492,22294.826612824225,10.895925891750888,15.730757183151255,58.98716615106059,14001.264770899903,6.454133729123978,37.19949020439465,4.732693610857126,23.127544119991924,-6.35866459204567,-12.082169173894089,8293.561841924322,37.199490204394664
14,test,2,1352,1352,1352,16.05082943740759,19.824546385624295,52.477853825470504,21700.721399375037,11.313755303720322,16.238395462249347,64.12821455339764,15296.197170629881,4.737074133687267,29.512955403084543,3.586150923374948,18.089447564739405,-11.650360727927136,-22.200528182180634,6404.5242287451565,29.51295540308444
5,train,5,1343,1343,1343,19.09437581692644,22.10219911532579,58.214390503701,25643.746722132248,8.118940171831134,12.434306985076516,53.164903763925395,10903.736650769211,10.975435645095306,57.479939382810294,9.667892130249273,43.74176560352089,5.0494867397756025,8.673949338101513,14740.010071363036,57.47993938281037
6,train,5,1191,1191,1191,15.175806432452264,18.42784975158038,54.43399442298414,18074.38546105064,6.930528406106301,10.89789958617373,51.412157447498885,8254.25933167261,8.245278026345963,54.33172901252935,7.529950165406648,40.86179487523159,3.0218369754852574,5.551378339064753,9820.126129378028,54.3317290125293
7,train,5,1312,1312,1312,16.70828680216726,19.391224330412033,47.70566400111761,21921.27228444344,6.269028306161083,9.500392003524091,38.52541366838227,8224.965137683346,10.439258496006179,62.479526594265096,9.890832326887942,51.00674489839073,9.18025033273534,19.243522807942202,13696.307146760093,62.47952659426505
8,train,5,1271,1271,1271,16.027505874829746,19.10664449372115,54.77803188691246,20370.95996690864,7.4333864563719345,11.113479483874219,49.3416079012477,9447.834186048718,8.594119418457812,53.62106547066921,7.99316500984693,41.8344781181942,5.43642398566476,9.924460223193282,10923.12578085992,53.62106547066933
9,train,5,1392,1392,1392,19.71311356923073,22.485714272573396,54.8320738904215,27440.65408836917,6.632445265320654,10.707625891723131,67.03142225065903,9232.363809326343,13.080668303910077,66.35516128881373,11.778088380850265,52.38031684506641,-12.199348360237536,-22.248562738329355,18208.290279042827,66.35516128881375
10,train,5,1358,1358,1358,15.860434858024808,19.193490665708943,49.12035739729643,21538.470537197707,11.379662154828178,17.983105753229772,63.35775726714883,15453.581206256666,4.48077270319663,28.251260090321676,1.2103849124791708,6.306226071954917,-14.237399869852396,-28.984723695508006,6084.889330941041,28.251260090321736
11,test,5,1345,1345,1345,17.86169748668468,20.66982622614904,55.25654560819976,24023.98311959092,7.1616201037101295,11.099394826254999,54.8260478571342,9632.379039490124,10.70007738297455,59.905153980751905,9.570431399894042,46.30146037602704,0.430497751065559,0.7790891492168768,14391.604080100797,59.905153980751955
12,test,5,1260,1260,1260,15.99703322594505,19.094352080082956,49.48947178188928,20156.26186469079,6.656049307722076,10.564566574682976,50.70231225026009,8386.622127729823,9.340983918222975,58.391976726491684,8.52978550539998,44.671772415348286,-1.212840468370814,-2.45070400774545,11769.639736960968,58.3919767264917
13,test,5,1285,1285,1285,17.350059620874866,20.46345079400838,52.62850155901492,22294.826612824225,8.870495965073017,14.120356704211787,58.882530340150424,11398.58731511882,8.479563655801849,48.87339779282137,6.343094089796594,30.997186904829498,-6.254028781135503,-11.883349508103615,10896.239297705404,48.87339779282145
14,test,5,1352,1352,1352,16.05082943740759,19.824546385624295,52.477853825470504,21700.721399375037,8.728284229010793,12.777098646816686,57.903333798609424,11800.640277622597,7.322545208396797,45.620977015250624,7.047447738807609,35.549099594621964,-5.42547997313892,-10.33860872280113,9900.08112175244,45.62097701525054
