cv_rate_pct,split,n_rows,mae_base_sec,mae_raw_ml_sec,rmse_base_sec,rmse_raw_ml_sec,mae_improvement_sec,rmse_improvement_sec
1,train,7867,18.881921574293955,8.713740717139693,22.453427447031167,12.168580666937986,10.168180857154262,10.284846780093181
1,test,5242,18.41452322007734,9.645260365590536,22.098786660927303,13.278048418465517,8.769262854486803,8.820738242461786
2,train,7867,18.881921574293955,8.159887475473422,22.453427447031167,11.779040157080347,10.722034098820533,10.67438728995082
2,test,5242,18.41452322007734,8.899831868811468,22.098786660927303,12.792011163376362,9.51469135126587,9.306775497550941
5,train,7867,18.881921574293955,7.102223723818577,22.453427447031167,11.07362427041187,11.779697850475378,11.379803176619298
5,test,5242,18.41452322007734,7.720878856540014,22.098786660927303,12.112748425360296,10.693644363537324,9.986038235567007
10,train,7867,18.881921574293955,6.0974716992870865,22.453427447031167,10.36642659061291,12.784449875006867,12.087000856418257
10,test,5242,18.41452322007734,6.600432440268906,22.098786660927303,11.292097863080038,11.814090779808431,10.806688797847265
20,train,7867,18.881921574293955,5.139071574019738,22.453427447031167,9.724577233354339,13.742850000274217,12.728850213676829
20,test,5242,18.41452322007734,5.566482683819532,22.098786660927303,10.585432544208839,12.848040536257805,11.513354116718464
50,train,7867,18.881921574293955,3.31015988994308,22.453427447031167,7.662722399534491,15.571761684350875,14.790705047496676
50,test,5242,18.41452322007734,3.5887888736602243,22.098786660927303,8.3117363330178,14.825734346417114,13.787050327909503
100,train,7867,18.881921574293955,0.7605144560563166,22.453427447031167,1.5494547099592568,18.121407118237638,20.90397273707191
100,test,5242,18.41452322007734,0.8584543214282321,22.098786660927303,1.8835216475084302,17.556068898649105,20.215265013418872
