split,cv_rate_pct,n_runs,n_gt_total,mae_baseline_sec,rmse_baseline_sec,maxae_baseline_sec,abc_baseline_vehicle_sec,mae_corrected_sec,rmse_corrected_sec,maxae_corrected_sec,abc_corrected_vehicle_sec,mae_improvement_sec,mae_improvement_pct,rmse_improvement_sec,rmse_improvement_pct,maxae_improvement_sec,maxae_improvement_pct,abc_improvement_vehicle_sec,abc_improvement_pct
test,1,4,5242,16.814904942728045,20.013043871466166,52.463093193643616,22043.948249120243,11.689404371386994,15.928423463633688,59.723851244561345,15323.354201528226,5.1255005713410515,30.148125369263298,4.084620407832479,20.274322893342934,-7.26075805091773,-13.950254666136987,6720.594047592019,30.14812536926335
test,2,4,5242,16.814904942728045,20.013043871466166,52.463093193643616,22043.948249120243,10.65855879424913,15.242189146104126,58.23769353291239,13981.510182054717,6.156346148478917,36.474057869624005,4.770854725362042,23.839230330276493,-5.774600339268773,-11.006185086774334,8062.438067065527,36.47405786962403
test,5,4,5242,16.814904942728045,20.013043871466166,52.463093193643616,22043.948249120243,7.854112401379004,12.140354187991612,55.578556061538535,10304.55718999034,8.960792541349043,53.197876378828894,7.872689683474556,39.3798798227067,-3.1154628678949194,-5.973393272358329,11739.391059129903,53.19787637882891
test,10,4,5242,16.814904942728045,20.013043871466166,52.463093193643616,22043.948249120243,5.558772360717079,9.309324854833786,52.07585277813379,7281.131397770387,11.256132582010968,66.83694101900277,10.703719016632384,53.43147456456322,0.38724041550982236,0.4966208563246606,14762.816851349857,66.8369410190028
test,20,4,5242,16.814904942728045,20.013043871466166,52.463093193643616,22043.948249120243,3.4798504306848725,6.516680074772218,44.643393327015815,4550.765321486018,13.335054512043174,79.28232904160114,13.49636379669395,67.44573759155452,7.819699866627801,14.62925003972304,17493.182927634225,79.28232904160117
test,50,4,5242,16.814904942728045,20.013043871466166,52.463093193643616,22043.948249120243,1.3904133026763392,3.59528840725186,39.14915809851186,1820.812740984097,15.424491640051706,91.70409383776443,16.41775546421431,82.01392692956713,13.313935095131754,25.333183680285515,20223.135508136147,91.70409383776445
test,100,4,5242,16.814904942728045,20.013043871466166,52.463093193643616,22043.948249120243,0.0,0.0,0.0,0.0,16.814904942728045,100.0,20.013043871466166,100.0,52.463093193643616,100.0,22043.948249120243,100.0
train,1,6,7867,17.09658722560521,20.117853771553616,53.18075201707219,22498.248176683643,11.376770782952098,15.804442959329359,59.43751802034618,14972.944710083446,5.7198164426531095,32.86619782712237,4.313410812224254,21.069640762010653,-6.256766003273995,-12.285596243830696,7525.303466600194,32.86619782712244
train,2,6,7867,17.09658722560521,20.117853771553616,53.18075201707219,22498.248176683643,10.134498344336842,14.594413555574837,57.55810218016213,13334.273567667822,6.962088881268367,40.05915949214448,5.523440215978778,27.02307452146984,-4.377350163089939,-8.600844293757127,9163.974609015817,40.05915949214455
train,5,6,7867,17.09658722560521,20.117853771553616,53.18075201707219,22498.248176683643,7.793998460103214,12.106134950600243,53.80554371647702,10252.79005362615,9.302588765501994,53.75311363990156,8.011718820953371,39.35522106872646,-0.6247916994048287,-1.3066626209226015,12245.458123057491,53.753113639901585
train,10,6,7867,17.09658722560521,20.117853771553616,53.18075201707219,22498.248176683643,5.433175764262345,8.973365434012544,50.95667915256208,7133.382093234487,11.663411461342863,67.78537903915652,11.144488337541071,55.07347388288482,2.2240728645101107,4.5933090548396605,15364.866083449153,67.78537903915655
train,20,6,7867,17.09658722560521,20.117853771553616,53.18075201707219,22498.248176683643,3.407552258974308,6.29921181403346,48.98824567432914,4467.1197821229625,13.6890349666309,79.84645347356366,13.818641957520155,68.49425212824421,4.1925063427430445,8.16518900573393,18031.128394560677,79.84645347356366
train,50,6,7867,17.09658722560521,20.117853771553616,53.18075201707219,22498.248176683643,1.4035891923929924,3.6460515661173196,43.319999831598004,1837.605154750497,15.692998033212218,91.67240957132758,16.471802205436294,81.66136099052902,9.860752185474189,18.756404696194,20660.64302193314,91.67240957132758
train,100,6,7867,17.09658722560521,20.117853771553616,53.18075201707219,22498.248176683643,0.0,0.0,0.0,0.0,17.09658722560521,100.0,20.117853771553616,100.0,53.18075201707219,100.0,22498.248176683643,100.0
